metro,status,max_assistance_usd,program_or_finding,source_url,as_of
Seattle,program_found,,"3%, 4% or 5% of the first mortgage loan amount. WSHFC Home Advantage DPA: 'Offers 3%, 4%, or 5% of the first-mortgage loan amount in downpayment assistance'. 0% interest, payment-deferred, repayable on sale/refi/payoff. No dollar cap stated. NOT the Needs-Based product (that is the flat $10,000 reco",https://heretohome.org/downpayment-assistance/,2026-08
Spokane,program_found,10000,"WSHFC Home Advantage Needs-Based down payment assistance, up to $10,000. Two-unit eligible, confirmed 2026-08-13 by email from Christian Hayes, Senior Program Compliance Administrator, Washington State Housing Finance Commission: ""The Home Advantage program allows for a 1 or 2 unit duplex property. ",https://heretohome.org/downpayment-assistance/,2026-08
St. Louis,program_found,10000,MHDC First Place Loan Program (DPA option),https://mhdc.com/media/dbzhjamp/first-place-operations-manual.pdf,2026-07
Syracuse,program_found,30000,SONYMA Down Payment Assistance Loan (DPAL) Plus,https://hcr.ny.gov/dpal-plus-2026-term-sheet,2026-07
Tampa,program_found,25000,Home Sweet Home Hillsborough Program (Florida Housing HFA partner DPA),https://www.homesweethomeprogram.com/,2026-07
Toledo,program_found,,"2.5% or 5% of the home's purchase price. OHFA (Ohio) 'Your Choice!' states: 'Down Payment Assistance allows homebuyers to choose either 2.5% or 5% of the home's purchase price.' Forgiven after seven years. No dollar cap stated. NOTE: percentage of PURCHASE PRICE, not loan amount.",https://ohiohome.org/partners/documents/DPA.pdf,2026-08
Tucson,none_found,,checked Arizona's state and Tucson/Pima County DPA product line; no 2-4 unit-eligible program found,https://downpaymentscout.com/states/arizona/,2026-07
Tulsa,program_found,5000,"Housing Partners of Tulsa, Inc. Homeownership Program (local nonprofit, city of Tulsa)",https://www.fha.com/first-time-home-buyers-program/homeownership-program,2026-07
Virginia Beach-Norfolk,program_found,40000,"Virginia DHCD HOMEownership Down Payment Assistance Program (DPA). 2-4 unit eligible if buyer occupies one unit; up to $40,000 (10-15% of price plus up to $2,500 closing costs).",https://www.dhcd.virginia.gov/sites/default/files/DocX/dpa/va-dpa-pilot-program-guidelines2025.pdf,2026-08
Washington DC,program_found,20000,DC Open Doors DPAL (DC Housing Finance Agency),https://downpaymentscout.com/down-payment-assistance-washington-dc/,2026-07
Wichita,none_found,,"KHRC First Time Homebuyer Program. Eligible property types confirmed 2026-08-13 by email from Marilyn Stanley, Kansas Housing Corporation: single-family on five acres or less; condominium, townhome, or one half of a duplex; manufactured home on a permanent foundation; modular home; new construction ",https://kshousingcorp.org/wp-content/uploads/2026/03/FTHB-Fact-Sheet-3-19-26.pdf,2026-08
Worcester,program_found,30000,MassHousing Down Payment Assistance,https://www.masshousing.com/en/home-ownership/homebuyers/down-payment-assistance,2026-07
Youngstown,program_found,,"2.5% or 5% of the home's purchase price. OHFA (Ohio) 'Your Choice!' states: 'Down Payment Assistance allows homebuyers to choose either 2.5% or 5% of the home's purchase price.' Forgiven after seven years. No dollar cap stated. NOTE: percentage of PURCHASE PRICE, not loan amount.",https://ohiohome.org/partners/documents/DPA.pdf,2026-08
